dataset	seed	model	val_mcc	test_mcc	test_accuracy	test_f1	test_precision	test_recall
pcp_aac_ctd_dpc	8	svm_rbf	0.8172708784757683	0.8618420371603257	0.9619047619047619	0.8823529411764706	0.9375	0.8333333333333334
pcp_aac_ctd_dpc	8	logistic_regression	0.6851411892434004	0.7833679783648669	0.9333333333333333	0.8205128205128205	0.7619047619047619	0.8888888888888888
pcp_aac_ctd_dpc	8	random_forest	0.7783040514449475	0.8623164985025762	0.9619047619047619	0.875	1.0	0.7777777777777778
pcp_aac_ctd_dpc	8	knn	0.31506301890630223	0.563003024905609	0.819047619047619	0.6274509803921569	0.48484848484848486	0.8888888888888888
pcp_aac_ctd_dpc	8	xgboost	0.8172708784757683	0.8618420371603257	0.9619047619047619	0.8823529411764706	0.9375	0.8333333333333334
pcp_aac_ctd_dpc	9	svm_linear	0.7988505747126436	0.9298128342245989	0.9809523809523809	0.9411764705882353	0.9411764705882353	0.9411764705882353
pcp_aac_ctd_dpc	9	svm_rbf	0.8623164985025762	0.9646768651029068	0.9904761904761905	0.9696969696969697	1.0	0.9411764705882353
pcp_aac_ctd_dpc	9	logistic_regression	0.7988505747126436	0.897687250469665	0.9714285714285714	0.9142857142857143	0.8888888888888888	0.9411764705882353
pcp_aac_ctd_dpc	9	random_forest	0.7520657131391064	0.8924013057463203	0.9714285714285714	0.9032258064516129	1.0	0.8235294117647058
pcp_aac_ctd_dpc	9	knn	0.5223158321656927	0.45226701686664544	0.6761904761904762	0.5	0.3333333333333333	1.0
pcp_aac_ctd_dpc	9	xgboost	0.7520657131391064	0.928840728025648	0.9809523809523809	0.9375	1.0	0.8823529411764706
